,Screening,Title,Abstract,Keywords
10,excluded,"Effects of long-term litter manipulation on soil carbon, nitrogen, and phosphorus in a temperate deciduous forest","Changes in above-ground litterfall can influence below-ground biogeochemical processes in forests. In order to examine how above-ground litter inputs affect soil carbon (C), nitrogen (N) and phosphorus (P) in a temperate deciduous forest, we studied a 14-year-old small-scale litter manipulation experiment that included control, litter exclusion, and doubled litter addition at a mature Fagus sylvatica L. site. Total organic C (TOC), total N (TN) and total P (TP), total organic P (TOP), bioavailable inorganic P (Pi), microbial C, N and P, soil respiration and fine root biomass were analyzed in the A and in two B horizons. Our results showed that litter manipulation had no significant effect on TOC in the mineral soil. Litter addition increased the bioavailable Pi in the A horizon but had no significant effect on N in the mineral soil. Litter exclusion decreased TN and TP in the B horizon to a depth of 10 cm. In the A horizon of the litter exclusion treatment, TP, TOP and bioavailable Pi were increased, which is most likely due to the higher root biomass in this treatment. The high fine root biomass seems to have counteracted the effects of the excluded aboveground litter. In conclusion, our study indicates that aboveground litter is not an important source for C in the mineral soil and that P recycling from root litter might be more important than from above-ground litter. (C) 2015 Elsevier Ltd. All rights reserved.",
11,excluded,Depression increases the risk of death independently from vascular events in elderly individuals: the three-city study,"BACKGROUNDHow much the association between depressive symptoms (DSs) and all-cause mortality depends on cardiovascular disease (CVD) events is poorly known. We aimed to prospectively quantify the association between DSs at repeated study visits and all-cause and cause-specific mortality, and the influence of incident CVD on this association. METHODSThe Three-City Study has included adults 65 years and older, who were examined at baseline between 1999 and 2001 and after 2, 4, 7, and 10 years of follow-up. At each visit, a score of 16 or greater on the 20-item Center for Epidemiologic Studies Depression Scale defined the presence of DSs. DS status and incident coronary heart disease or stroke events were used as time-dependent variables in a Cox proportional hazard model of mortality. RESULTSWe studied 7377 participants (63.7% females) aged 73.8 years (SD = 5.4 years) without a history of CVD at baseline examination. DSs were present in 19% to 22% of subjects at each study visit. During a median follow-up of 9.4 years, 650 subjects developed a first CVD, and 1255 had died. After adjustment for baseline sociodemographic variables, vascular risk factors, impairment in daily life activities, and antidepressants, time-dependent DSs were associated with a 28% increased risk of mortality (hazard ratio [HR] = 1.28; 95% confidence interval [CI] = 1.06-1.55), and incident CVD event was associated with a 63% increased risk (HR = 1.63; 95% CI = 1.30-2.04). However, the association between DSs and mortality was not influenced by the occurrence of CVD (HR for DS and CVD interaction = 1.03; 95% CI = 0.66-1.61). A mediation analysis confirmed that incident CVD only explained 6.9% of the excess of mortality associated with DSs. CONCLUSIONIn older participants, the increased risk of all-cause mortality associated with the presence of DSs at baseline and during follow-up is not modified by and is moderately mediated by incident CVD. J Am Geriatr Soc 67:546-552, 2019.",depressive symptoms; mortality; cardiovascular events; elderly individuals; longitudinal study
12,excluded,Pairwise comparison of soil organic particle-size distributions in native savannas and eucalyptus plantations in congo,"Conversion of native vegetation into fast-growing tree plantations is known to affect soil organic matter (SOM): soil carbon (C) and nitrogen (N) content and their distribution in particle-size fractions can be modified in various ways depending on numerous factors, such as soil properties, SOM levels prior to conversion, climatic conditions, silvicultural practices and fire occurrence. Since 1978, 43,000 ha of clonal eucalyptus plantations have been established on sandy coastal plains under savannas near Pointe-Noire, Congo. We investigated the effects of afforestation on topsoil (0-10 cm) C and N through the analysis of their distribution in particle-size fractions using a pairwise experimental design that compared adjacent savannas and plantations. The studied plantations were of different ages (2-30-year-old stands) and differently affected by accidental fires. No significant difference in total topsoil C, N or C/N was observed between young plantations and savanna. In old plantations that had not been affected by fire, total topsoil C content was twice as high as in savanna (p = 0.0016), on average, mostly involving fractions > 50 mu m. By contrast, total topsoil N did not differ significantly at these sites. In old plantations affected by fire, total topsoil C content did not differ significantly from that in savanna, but total topsoil N was 26% lower in plantations than in savanna (p = 0.0063), on average, and the decrease affected fractions < 200 mu m especially. Whatever the fire occurrence, total topsoil C/N was higher in old plantations than in savanna, in fractions > 20 mu m especially. (C) 2007 Elsevier B.V. All rights reserved.",
13,excluded,Sequence recombination improves target specificity in a redesigned collagen peptide abc-type heterotrimer,"Stability of the collagen triple helix is largely governed by its imino acid content, namely the occurrence of proline and 4R-hydroxyproline at the X and Y positions, respectively, of the periodic (Gly-X-Y)n sequence. Although other amino acids at these positions reduce stability of the triple helix, this can be partially compensated by introducing intermolecular side-chain salt bridges. This approach was previously used to design an abc-type heterotrimer composed of one basic, one acidic, and one neutral imino acid rich chain (Gauba and Hartgerink, J Am Chem Soc 2007;129:1503415041). In this study, an abc-type heterotrimer was designed to be the most stable species using a sequence recombination strategy that preserved both the amino acid composition and the network of interchain salt bridges of the original design. The target heterotrimer had the highest Tm of 50 degrees C, 7 degrees C greater than the next most stable species. Stability of the heterotrimer decreased with increasing ionic strength, consistent with the role of intermolecular salt bridges in promoting stability. Quantitative meta-analysis of these results and published stability measurements on closely related peptides was used to discriminate the contributions of backbone propensity and side-chain electrostatics to collagen stability. Proteins 2013. (C) 2012 Wiley Periodicals, Inc.",
14,included,Grazing intensity significantly affects belowground carbon and nitrogen cycling in grassland ecosystems: a meta-analysis,"Livestock grazing activities potentially alter ecosystem carbon (C) and nitrogen (N) cycles in grassland ecosystems. Despite the fact that numerous individual studies and a few meta-analyses had been conducted, how grazing, especially its intensity, affects belowground C and N cycling in grasslands remains unclear. In this study, we performed a comprehensive meta-analysis of 115 published studies to examine the responses of 19 variables associated with belowground C and N cycling to livestock grazing in global grasslands. Our results showed that, on average, grazing significantly decreased belowground C and N pools in grassland ecosystems, with the largest decreases in microbial biomass C and N (21.62% and 24.40%, respectively). In contrast, belowground fluxes, including soil respiration, soil net N mineralization and soil N nitrification increased by 4.25%, 34.67% and 25.87%, respectively, in grazed grasslands compared to ungrazed ones. More importantly, grazing intensity significantly affected the magnitude (even direction) of changes in the majority of the assessed belowground C and N pools and fluxes, and C : N ratio as well as soil moisture. Specifically, light grazing contributed to soil C and N sequestration whereas moderate and heavy grazing significantly increased C and N losses. In addition, soil depth, livestock type and climatic conditions influenced the responses of selected variables to livestock grazing to some degree. Our findings highlight the importance of the effects of grazing intensity on belowground C and N cycling, which may need to be incorporated into regional and global models for predicting effects of human disturbance on global grasslands and assessing the climate-biosphere feedbacks.",carbon sequestration; CO2 emission; heavy grazing; mineralization; soil microbial biomass
15,excluded,"General health, sense of coherence and coping styles in parents participating in workshops for parents of hyperactive children","Aim. The assessment of changes in the general health, sense of coherence and stress coping styles in parents of children and adolescents with ADHD, participating in 12-week Workshops for Parents of hyperactive Children. Material. The experimental group included 186 mothers and 139 fathers (parents of 199 children); the reference group included 23 mothers and 19 fathers (parents of 24 children), attending 1-2 standard medical visits within a 12-week period (treatment as usual). Method. Parents from both groups were assessed twice using (1) the General Health Questionnaire (GHQ), (2) the Life Orientation Questionnaire (SOC-29), and (3) the Coping Inventory for Stressful Situations (CISS). Results. (1) The experimental group showed a significant improvement in the severity of somatic symptoms and anxiety/insomnia in mothers and the general well-being of mothers and fathers. We observed the influence of workshops on manageability and reduction of the emotion-oriented coping in mothers; (2) the participation in the workshops was associated with a statistically significant effect (mostly moderate) in relation to general health of mothers, while TAU was mostly associated with a low or insignificant effect. Conclusions. The assessed form of interventions improves the functioning of parents of children with ADHD.",ADHD; the functioning of parents; workshops for parents
16,included,A global synthesis of below-ground carbon responses to biotic disturbance: a meta-analysis,"AimClimate change, especially the wider occurrence of extreme events, is likely to increase the intensity and frequency of insect/pathogen outbreaks (referred to as biotic disturbance), which may considerably affect plant ecophysiological traits and thus the ecosystem carbon (C) cycle. Little is known, however, about the ways in which biotic disturbance quantitatively affects ecosystem C processes, especially those that occur below ground. We reveal the general patterns of below-ground C responses to biotic disturbance from field manipulative experiments and opportunistic events. LocationGlobal. MethodWe carried out a meta-analysis examining the effects of biotic disturbance on 16 variables associated with below-ground C processes, based on 64 experimental studies. ResultsBiotic disturbance significantly decreased below-ground C pools with relatively long residence times (e.g. root biomass and soil organic carbon, SOC), but increased labile C pools (e.g. microbial biomass carbon, MBC; dissolved organic carbon, DOC), soil respiration (Rs) and its components, and microbial population sizes. Compared with the neutral or positive effects of other environmental changes on below-ground C pools and fluxes, biotic disturbance had a negative effect on plant biomass and SOC but a larger positive effect on MBC, DOC and Rs. Main conclusionsBiotic disturbance can have stronger impacts on below-ground C processes than other environmental changes, and the sensitive responses of soil labile C pools and C fluxes to biotic disturbance decrease long-term below-ground C sequestration. More research efforts are, however, needed to reduce the uncertainties in quantifying the effects of biotic disturbance and to improve forecasting of the feedback between the carbon cycle and climate.",Below-ground; DOC; insect; meta-analysis; pathogen; respiration; root; biomass; SOC
17,excluded,Effect of different agricultural practices on carbon emission and carbon stock in organic and conventional olive systems,"Agricultural practices, particularly land use, inputs and soil management, have a significant impact on the carbon cycle. Good management of agricultural practices may reduce carbon emissions and increase soil carbon sequestration. In this context, organic agricultural practices may have a positive role in mitigating environmental burden. Organic olive cultivation is increasing globally, particularly in Italy, which is ranked first worldwide for both organic olive production and cultivated area. The aim of the present study was to assess the effects of agricultural practices in organic and conventional olive systems on global warming potential (GWP) from a life cycle perspective and to identify the hot spots in each system. The impacts assessed were associated with the efficiency of both systems at sequestering soil in order to calculate the net carbon flux. There was a higher environmental impact on GWP in the organic system because of higher global greenhouse gas (GHG) emissions resulting from manure fertilisation rather than the synthetic foliar fertilisers used in the conventional system. However, manure was the main reason behind the higher soil organic carbon (SOC) content and soil carbon sequestration in the organic system. Fertilisation activity was the main contributor to carbon emissions, accounting for approximately 80% of total emissions in the organic system and 45% in the conventional system. Conversely, given the similarity of other factors (land use, residues management, soil cover) that may affect soil carbon content, manure was the primary contributor to increased SOC in the organic system, resulting in a higher efficiency of carbon sequestration in the soil following the addition of soil organic matter. The contribution of the manure to increased SOC compensated for the higher carbon emission from the organic system, resulting in higher negative net carbon flux in the organic versus the conventional system (-1.7 vs -0.52 t C ha(-1) year(-)1, respectively) and higher efficiency of CO2 mitigation in the organic system.",global warming potential; greenhouses gas emissions; net carbon flux; soil organic carbon
18,excluded,Efficacy of topical recombinant human platelet-derived growth factor for treatment of diabetic lower-extremity ulcers: systematic review and meta-analysis,"Objective. Recombinant human platelet-derived growth factor (rhPDGF) is used topically in the treatment of diabetic lower-extremity ulcers. There have been few meta-analyses of the efficacy of rhPDGF in this treatment context. The aim of this study was to perform an updated systematic review and meta-analysis to assess the clinical efficacy of rhPDGF in the treatment of diabetic lower-extremity ulcers. Methods. We searched the MEDLINE, Cochrane Library, EMBASE and Web of Knowledge databases up to April 30, 2014. Studies were identified and selected, and data were extracted by two independent reviewers. The primary efficacy outcome was complete healing rate. Adverse events were also assessed. The studies were evaluated for quality and publication bias. Results. A total of 6 randomized controlled trials including 992 patients were selected from 173 identified studies. The studies compared rhPDGF treatment in the context of standard of care (SOC) to placebo or SOC alone. In the absence of study heterogeneity, a fixed-effects model was performed, and the combined odds ratio (OR) indicated a significantly greater complete healing rate in patients treated with rhPDGF compared to placebo or SOC alone. The ORs ranged from 0.58 to 2.77, with a combined OR of 1.53 (95% CI = 1.14 to 2.04, p = 0.004). A sensitivity analysis (leave-one-out method) indicated good study reliability, and a funnel plot with Egger test showed no publication bias. Conclusion. These results indicate that rhPDGF is efficacious in the treatment of diabetic lower-extremity ulcers. (C) 2014 Elsevier Inc. All rights reserved.",
19,excluded,Response of soil respiration to grazing in an alpine meadow at three elevations in tibet,"Alpine meadows are one major type of pastureland on the Tibetan Plateau. However, few studies have evaluated the response of soil respiration (R-s) to grazing along an elevation gradient in an alpine meadow on the Tibetan Plateau. Here three fenced enclosures were established in an alpine meadow at three elevations (i.e., 4313 m, 4513 m, and 4693 m) in July 2008. We measured R-s inside and outside the three fenced enclosures in July-September, 2010-2011. Topsoil (0-20 cm) samples were gathered in July, August, and September, 2011. There were no significant differences for R-s, dissolved organic C (DOC), and belowground root biomass (BGB) between the grazed and ungrazed soils. Soil respiration was positively correlated with soil organic C (SOC), microbial biomass (MBC), DOC, and BGB. In addition, both R-s and BGB increased with total N (TN), the ratio of SOC to TN, ammonium N (NH4+-N), and the ratio of NH4+-N to nitrate N. Our findings suggested that the negligible response of R-s to grazing could be directly attributed to that of respiration substrate and that soil N may indirectly affect R-s by its effect on BGB.",
20,included,The impact of swidden decline on livelihoods and ecosystem services in Southeast Asia: A review of the evidence from 1990 to 2015,"Global economic change and policy interventions are driving transitions from long-fallow swidden (LFS) systems to alternative land uses in Southeast Asia's uplands. This study presents a systematic review of how these transitions impact upon livelihoods and ecosystem services in the region. Over 17 000 studies published between 1950 and 2015 were narrowed, based on relevance and quality, to 93 studies for further analysis. Our analysis of land-use transitions from swidden to intensified cropping systems showed several outcomes: more households had increased overall income, but these benefits came at significant cost such as reductions of customary practice, socio-economic wellbeing, livelihood options, and staple yields. Examining the effects of transitions on soil properties revealed negative impacts on soil organic carbon, cation-exchange capacity, and aboveground carbon. Taken together, the proximate and underlying drivers of the transitions from LFS to alternative land uses, especially intensified perennial and annual cash cropping, led to significant declines in pre-existing livelihood security and the ecosystem services supporting this security. Our results suggest that policies imposing land-use transitions on upland farmers so as to improve livelihoods and environments have been misguided; in the context of varied land uses, swidden agriculture can support livelihoods and ecosystem services that will help buffer the impacts of climate change in Southeast Asia.",Alternative land uses; Ecosystem services; Livelihood security; Shifting cultivation; Southeast Asia
21,excluded,Grazing and no-till cropping impacts on nitrogen retention in dryland agroecosystems,"As the world's population increases, marginal lands such as drylands are likely to become more important for food production. One proven strategy for improving crop production in drylands involves shifting from conventional tillage to no-till to increase water use efficiency, especially when this shift is coupled with more intensive crop rotations. Practices such as no-till that reduce soil disturbance and increase crop residues may promote C and N storage in soil organic matter, thus promoting N retention and reducing N losses. By sampling soils 15 yr after a N-15 tracer addition, this study compared long-term soil N retention across several agricultural management strategies in current and converted shortgrass steppe ecosystems: grazed and ungrazed native grassland, occasionally mowed planted perennial grassland, and three cropping intensities of no-till dryland cropping. We also examined effects of the environmental variables site location and topography on N retention. Overall, the long-term soil N retention of > 18% in these managed semiarid ecosystems was high compared with published values for other cropped or grassland ecosystems. Cropping practices strongly influenced long-term N retention, with planted perennial grass systems retaining > 90% of N-15 in soil compared with 30% for croplands. Grazing management, topography, and site location had smaller effects on long-term N retention. Estimated 15-yr N losses were low for intact and cropped systems. This work suggests that semiarid perennial grass ecosystems are highly N retentive and that increased intensity of semiarid land management can increase the amount of protein harvested without increasing N losses.",
